X,M
2130,-10278
2131,-10319
2132,-10360
2133,-10401
2134,-10442
2135,-10483
2136,-10524
2137,-10565
2138,-10606
2139,-10647
2140,-10688
2141,-10729
2142,-10770
2143,-10810
2144,-10851
2145,-10892
2146,-10932
2147,-10973
2148,-11014
2149,-11054
2150,-11095
2151,-11135
2152,-11175
2153,-11216
2154,-11256
2155,-11296
2156,-11337
2157,-11377
2158,-11417
2159,-11457
2160,-11497
2161,-11537
2162,-11577
2163,-11617
2164,-11657
2165,-11697
2166,-11737
2167,-11777
2168,-11817
2169,-11856
2170,-11896
2171,-11936
2172,-11975
2173,-12015
2174,-12054
2175,-12094
2176,-12133
2177,-12173
2178,-12212
2179,-12251
2180,-12291
2181,-12330
2182,-12369
2183,-12408
2184,-12447
2185,-12486
2186,-12525
2187,-12564
2188,-12603
2189,-12642
2190,-12681
2191,-12720
2192,-12759
2193,-12797
2194,-12836
2195,-12875
2196,-12913
2197,-12952
2198,-12990
2199,-13028
2200,-13067
2201,-13105
2202,-13143
2203,-13182
2204,-13220
2205,-13258
2206,-13296
2207,-13334
2208,-13372
2209,-13410
2210,-13448
2211,-13486
2212,-13524
2213,-13561
2214,-13599
2215,-13637
2216,-13674
2217,-13712
2218,-13749
2219,-13787
2220,-13824
2221,-13862
2222,-13899
2223,-13936
2224,-13973
2225,-14010
2226,-14048
2227,-14085
2228,-14122
2229,-14159
2230,-14195
2231,-14232
2232,-14269
2233,-14306
2234,-14342
2235,-14379
2236,-14416
2237,-14452
2238,-14489
2239,-14525
2240,-14561
2241,-14598
2242,-14634
2243,-14670
2244,-14706
2245,-14742
2246,-14778
2247,-14814
2248,-14850
2249,-14886
2250,-14922
2251,-14958
2252,-14993
2253,-15029
2254,-15065
2255,-15100
2256,-15136
2257,-15171
2258,-15207
2259,-15242
2260,-15277
2261,-15312
2262,-15347
2263,-15382
2264,-15417
2265,-15452
2266,-15487
2267,-15522
2268,-15557
2269,-15592
2270,-15626
2271,-15661
2272,-15696
2273,-15730
2274,-15764
2275,-15799
2276,-15833
2277,-15867
2278,-15902
2279,-15936
2280,-15970
2281,-16004
2282,-16038
2283,-16072
2284,-16105
2285,-16139
2286,-16173
2287,-16206
2288,-16240
2289,-16274
2290,-16307
2291,-16340
2292,-16374
2293,-16407
2294,-16440
2295,-16473
2296,-16506
2297,-16539
2298,-16572
2299,-16605
2300,-16638
2301,-16671
2302,-16703
2303,-16736
2304,-16769
2305,-16801
2306,-16834
2307,-16866
2308,-16898
2309,-16930
2310,-16963
2311,-16995
2312,-17027
2313,-17059
2314,-17091
2315,-17122
2316,-17154
2317,-17186
2318,-17218
2319,-17249
2320,-17281
2321,-17312
2322,-17343
2323,-17375
2324,-17406
2325,-17437
2326,-17468
2327,-17499
2328,-17530
2329,-17561
2330,-17592
2331,-17623
2332,-17653
2333,-17684
2334,-17714
2335,-17745
2336,-17775
2337,-17806
2338,-17836
2339,-17866
2340,-17896
2341,-17926
2342,-17956
2343,-17986
2344,-18016
2345,-18046
2346,-18075
2347,-18105
2348,-18135
2349,-18164
2350,-18193
2351,-18223
2352,-18252
2353,-18281
2354,-18310
2355,-18339
2356,-18368
2357,-18397
2358,-18426
2359,-18455
2360,-18483
2361,-18512
2362,-18540
2363,-18569
2364,-18597
2365,-18626
2366,-18654
2367,-18682
2368,-18710
2369,-18738
2370,-18766
2371,-18794
2372,-18822
2373,-18849
2374,-18877
2375,-18904
2376,-18932
2377,-18959
2378,-18987
2379,-19014
2380,-19041
2381,-19068
2382,-19095
2383,-19122
2384,-19149
2385,-19176
2386,-19202
2387,-19229
2388,-19255
2389,-19282
2390,-19308
2391,-19335
2392,-19361
2393,-19387
2394,-19413
2395,-19439
2396,-19465
2397,-19491
2398,-19516
2399,-19542
2400,-19568
2401,-19593
2402,-19619
2403,-19644
2404,-19669
2405,-19694
2406,-19719
2407,-19744
2408,-19769
2409,-19794
2410,-19819
2411,-19844
2412,-19868
2413,-19893
2414,-19917
2415,-19942
2416,-19966
2417,-19990
2418,-20014
2419,-20038
